_id,question_id,question_title,answers[0].text,answers[1].text,answers[2].text,answers[3].text,answers[0].is_correct,answers[1].is_correct,answers[2].is_correct,answers[3].is_correct,region,topic[0],topic[1],topic[2],difficulty
666388809d00580d4ad50c24,1,Who is the current President of India (as of 2024)?,Droupadi Murmu,Ram Nath Kovind,Pranab Mukherjee,A.P.J. Abdul Kalam,true,false,false,false,India,Politics,History,,Easy
666388809d00580d4ad50c25,2,Which Indian Prime Minister signed the Indo-US Nuclear Deal?,Manmohan Singh,Narendra Modi,Atal Bihari Vajpayee,Rajiv Gandhi,true,false,false,false,India,Politics,History,,Hard
666388809d00580d4ad50c26,3,What is the Article 370 known for?,Special status to Jammu & Kashmir,Reservation in education,Emergency powers,Fundamental rights,true,false,false,false,India,Politics,,,Medium
666388809d00580d4ad50c27,4,Who was the first Prime Minister of India to resign from office?,Morarji Desai,Indira Gandhi,Lal Bahadur Shastri,P.V. Narasimha Rao,true,false,false,false,India,Politics,History,,Hard
666388809d00580d4ad50c28,5,Which party is known as the oldest political party in India?,Indian National Congress,Bharatiya Janata Party,Communist Party of India,Nationalist Congress Party,true,false,false,false,India,Politics,History,,Easy
666388809d00580d4ad50c29,6,Who was the first Speaker of the Lok Sabha?,Ganesh Vasudev Mavalankar,Sarvepalli Radhakrishnan,K.S. Hegde,Sumitra Mahajan,true,false,false,false,India,Politics,History,,Hard
666388809d00580d4ad50c2a,7,What is the maximum strength of the Lok Sabha?,552,500,545,560,true,false,false,false,India,Politics,,,Easy
666388809d00580d4ad50c2b,8,"Which Indian political leader initiated the ""Green Revolution""?",Lal Bahadur Shastri,Indira Gandhi,P.V. Narasimha Rao,Rajiv Gandhi,true,false,false,false,India,Politics,History,,Medium
666388809d00580d4ad50c2c,9,Who was the first Governor-General of independent India?,Lord Mountbatten,C. Rajagopalachari,Warren Hastings,Lord Wavell,true,false,false,false,India,Politics,History,,Easy
666388809d00580d4ad50c2d,10,Which Indian state was the first to implement the Panchayati Raj system?,Rajasthan,Bihar,Uttar Pradesh,Kerala,true,false,false,false,India,Politics,History,,Hard
666388809d00580d4ad50c2e,11,Who is known as the 'Iron Lady of India'?,Indira Gandhi,Sarojini Naidu,Sucheta Kriplani,Pratibha Patil,true,false,false,false,India,Politics,History,,Medium
666388809d00580d4ad50c2f,12,Who is the current Chief Minister of Maharashtra (as of 2024)?,Eknath Shinde,Uddhav Thackeray,Devendra Fadnavis,Ashok Chavan,true,false,false,false,India,Politics,,,Hard
666388809d00580d4ad50c30,13,Which article of the Indian Constitution deals with the protection of minorities?,Article 29,Article 15,Article 19,Article 25,true,false,false,false,India,Politics,History,,Hard
666388809d00580d4ad50c31,14,Who was the first woman to serve as the Chief Minister of an Indian state?,Sucheta Kriplani,Jayalalithaa,Mamata Banerjee,Vasundhara Raje,true,false,false,false,India,Politics,History,,Hard
666388809d00580d4ad50c32,15,What does the term 'Franchise' refer to in Indian politics?,The right to vote,Forming a government,Joining a political party,Protesting policies,true,false,false,false,India,Politics,History,,Hard
666388809d00580d4ad50c33,16,Which commission was set up to investigate the Babri Masjid demolition?,Liberhan Commission,Nanavati Commission,Shah Commission,Verma Commission,true,false,false,false,India,Politics,History,,Hard
666388809d00580d4ad50c34,17,Which political party does Arvind Kejriwal belong to?,Aam Aadmi Party,Bharatiya Janata Party,Indian National Congress,Samajwadi Party,true,false,false,false,India,Politics,History,,Easy
666388809d00580d4ad50c35,18,Who appoints the judges of the Supreme Court of India?,The President of India,The Prime Minister,The Chief Justice of India,The Law Minister,true,false,false,false,India,Politics,,,Medium
666388809d00580d4ad50c36,19,Which Indian state was created in 2000 along with Uttarakhand and Jharkhand?,Chhattisgarh,Telangana,Mizoram,Sikkim,true,false,false,false,India,Politics,History,,Medium
666388809d00580d4ad50c37,20,Which political leader is known for the 'Operation Blue Star'?,Indira Gandhi,Rajiv Gandhi,Lal Bahadur Shastri,Manmohan Singh,true,false,false,false,India,Politics,History,,Medium
666388809d00580d4ad50c38,21,Who was the founder of the Maurya Dynasty?,Chandragupta Maurya,Ashoka,Bindusara,Harsha,true,false,false,false,India,History,FreedomMovement,,Easy
